System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
601,Appling County,103,Appling County High School,H,73.6,81.3,84.4,80.9,76.2,0.104619565217391,0.0381303813038131,-0.0580964153275649,0.0282178437312132,Yes,79.28,2015-2019,67.97,Yes,Yes,Beating the Odds
601,Appling County,177,Appling County Elementary School,E,68.8,67.5,82.0,71.8,69.4,-0.0188953488372093,0.214814814814815,-0.033426183844011,0.0541644273778648,Yes,71.9,2015-2019,66.04,Yes,Yes,Within Expected Range
601,Appling County,195,Appling County Middle School,M,68.8,74.0,75.8,77.1,75.4,0.0755813953488373,0.0243243243243243,-0.0220492866407262,0.0259521443441451,Yes,74.22,2015-2019,65.54,Yes,Yes,Within Expected Range
601,Appling County,277,Appling County Primary School,E,,,,66.1,60.0,,,-0.0922844175491678,-0.0922844175491678,No,63.05,2018-2019,65.75,No,No,Below Expected Range
601,Appling County,1050,Altamaha Elementary School,E,72.3,79.8,79.2,70.6,71.1,0.103734439834025,-0.0075187969924811,0.0070821529745042,0.0344325986053493,Yes,74.6,2015-2019,66.04,Yes,Yes,Below Expected Range
601,Appling County,5050,Fourth District Elementary School,E,68.2,63.0,74.9,76.9,84.7,-0.0762463343108505,0.188888888888889,0.101430429128739,0.0713576612355924,Yes,73.54,2015-2019,66.04,Yes,Yes,Beating the Odds
601,Appling County,ALL,All Schools,E,68.7,66.8,80.6,73.2,69.3,-0.0276564774381369,0.206586826347305,-0.0532786885245902,0.0418838867948594,Yes,71.72,2015-2019,66.04,Yes,Yes,
601,Appling County,ALL,All Schools,H,73.6,81.3,84.4,80.9,76.2,0.104619565217391,0.0381303813038131,-0.0580964153275649,0.0282178437312132,Yes,79.28,2015-2019,67.97,Yes,Yes,
601,Appling County,ALL,All Schools,M,68.3,73.5,75.8,77.1,75.4,0.0761346998535872,0.0312925170068027,-0.0220492866407262,0.0284593100732212,Yes,74.02,2015-2019,65.54,Yes,Yes,
602,Atkinson County,103,Atkinson County High School,H,88.5,78.5,80.1,72.3,76.7,-0.112994350282486,0.0203821656050955,0.0608575380359614,-0.0105848822138097,No,79.22,2015-2019,67.97,Yes,No,Beating the Odds
602,Atkinson County,111,Atkinson County Middle School,M,72.7,69.2,77.0,62.7,73.6,-0.0481430536451169,0.11271676300578,0.17384370015949,0.079472469840051,Yes,71.04,2015-2019,65.54,Yes,Yes,Within Expected Range
602,Atkinson County,187,Willacoochee Elementary School,E,89.7,85.3,83.6,62.6,75.1,-0.0490523968784839,-0.0199296600234467,0.199680511182109,0.043566151426726,Yes,79.26,2015-2019,66.04,Yes,Yes,Beating the Odds
602,Atkinson County,190,Pearson Elementary School,E,84.8,74.2,74.7,70.6,81.0,-0.125,0.0067385444743935,0.147308781869689,0.009682442114694,Yes,77.06,2015-2019,66.04,Yes,Yes,Beating the Odds
602,Atkinson County,ALL,All Schools,E,85.5,76.8,75.6,68.6,78.5,-0.101754385964912,-0.015625,0.144314868804665,0.0089784942799174,Yes,77.0,2015-2019,66.04,Yes,Yes,
602,Atkinson County,ALL,All Schools,H,88.5,78.5,79.6,72.3,76.7,-0.112994350282486,0.0140127388535031,0.0608575380359614,-0.0127080244643405,No,79.12,2015-2019,67.97,Yes,No,
602,Atkinson County,ALL,All Schools,M,72.2,68.7,76.0,62.7,73.6,-0.0484764542936288,0.106259097525473,0.17384370015949,0.0772087811304446,Yes,70.64,2015-2019,65.54,Yes,Yes,
603,Bacon County,102,Bacon County Primary School,E,,,,68.0,86.2,,,0.267647058823529,0.267647058823529,Yes,77.1,2018-2019,65.75,Yes,Yes,Beating the Odds
603,Bacon County,202,Bacon County Middle School,M,66.2,64.6,59.3,62.7,85.0,-0.0241691842900303,-0.0820433436532507,0.355661881977671,0.0831497846781301,Yes,67.56,2015-2019,65.54,Yes,Yes,Beating the Odds
603,Bacon County,302,Bacon County High School,H,67.0,69.1,66.9,78.9,81.4,0.0313432835820895,-0.0318379160636757,0.0316856780735108,0.0103970151973082,Yes,72.66,2015-2019,67.97,Yes,Yes,Beating the Odds
603,Bacon County,3050,Bacon County Elementary School,E,79.8,82.1,79.9,77.6,80.0,0.0288220551378446,-0.0267965895249694,0.0309278350515465,0.0109844335548072,Yes,79.88,2015-2019,66.04,Yes,Yes,Beating the Odds
603,Bacon County,ALL,All Schools,E,79.2,81.6,78.4,77.5,79.8,0.0303030303030302,-0.0392156862745097,0.0296774193548387,0.006921587794453,Yes,79.3,2015-2019,66.04,Yes,Yes,
603,Bacon County,ALL,All Schools,H,67.0,68.6,65.9,78.9,81.4,0.0238805970149253,-0.0393586005830902,0.0316856780735108,0.0054025581684486,Yes,72.36,2015-2019,67.97,Yes,Yes,
603,Bacon County,ALL,All Schools,M,66.2,64.1,58.3,62.7,85.0,-0.0317220543806648,-0.0904836193447738,0.355661881977671,0.0778187360840776,Yes,67.26,2015-2019,65.54,Yes,Yes,
604,Baker County,105,Baker County K12 School,E,49.4,49.7,48.2,53.4,60.4,0.0060728744939272,-0.0301810865191147,0.131086142322097,0.03565931009897,Yes,52.22,2015-2019,66.04,No,No,Within Expected Range
604,Baker County,105,Baker County K12 School,H,76.5,81.3,60.2,58.7,66.7,0.0627450980392156,-0.259532595325953,0.136286201022147,-0.0201670987548637,No,68.68,2015-2019,67.97,Yes,No,Within Expected Range
604,Baker County,105,Baker County K12 School,M,65.1,68.1,68.2,53.2,53.3,0.0460829493087558,0.0014684287812042,0.0018796992481201,0.0164770257793601,Yes,61.58,2015-2019,65.54,No,No,Within Expected Range
604,Baker County,183,Baker County Learning Center,H,,,,,,,,,,,,,,No,,
604,Baker County,ALL,All Schools,E,48.9,48.7,48.2,53.4,60.4,-0.0040899795501021,-0.0102669404517454,0.131086142322097,0.0389097407734166,Yes,51.92,2015-2019,66.04,No,No,
604,Baker County,ALL,All Schools,H,76.0,80.8,60.2,58.7,66.7,0.0631578947368421,-0.254950495049505,0.136286201022147,-0.0185021330968388,No,68.48,2015-2019,67.97,Yes,No,
604,Baker County,ALL,All Schools,M,64.6,67.6,68.2,53.2,53.3,0.0464396284829721,0.0088757396449705,0.0018796992481201,0.0190650224586876,Yes,61.38,2015-2019,65.54,No,No,
605,Baldwin County,100,Oak Hill MS,M,55.1,59.1,59.8,61.3,64.6,0.0725952813067151,0.0118443316412859,0.0538336052202283,0.0460910727227431,Yes,59.98,2015-2019,65.54,No,No,Below Expected Range
605,Baldwin County,104,Eagle Ridge Elementary School,E,47.3,54.1,60.8,,,0.143763213530656,0.123844731977819,,0.133803972754237,Yes,54.0666666666667,2015-2017,64.6666666666667,No,No,
