amenity_key,google_type,place_id,name,lat,lon,types,vicinity,business_status
retail_store,clothing_store,ChIJyw0eLoTN9IgRTSTO_BYgn1w,Abernathy's Absolute,33.4580878,-84.8859225,clothing_store|store|point_of_interest|establishment,"52 Stapler Road, Newnan",OPERATIONAL
retail_store,clothing_store,ChIJMwH-2g7J9IgRR97lINe7_1w,Shan Sassy Stylez,33.4164953,-84.8527809,clothing_store|store|point_of_interest|establishment,"6 Arnco 1st Street, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJP1sx9y3M9IgREYEPllk_trc,D & D Fire Place,33.4619264,-84.8670192,home_goods_store|store|point_of_interest|establishment,"65 Fuller Gordon Road, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJbXTq-EXJ9IgRAc8hNmj2o8M,C and C Manufacturers Outlet,33.40964919999999,-84.8415143,furniture_store|home_goods_store|store|point_of_interest|establishment,"1002 Georgia 16, Newnan",OPERATIONAL
grocery_store,grocery_or_supermarket,ChIJjVnEhQTM9IgRJ1Ew7hQBdOE,Little Giant Farmers Market,33.4307865,-84.8623881,grocery_or_supermarket|supermarket|food|store|point_of_interest|establishment,"2005 West, 2005 Georgia 16 Suite 105, Newnan",OPERATIONAL
restaurant,restaurant,ChIJFRMoVWTH9IgRcxfdRb0_pKo,Beijing,33.4304353,-84.8622259,restaurant|food|point_of_interest|establishment,"2005 Georgia 16 #103, Newnan",OPERATIONAL
restaurant,restaurant,ChIJl82KCMDP9IgRqcdgqp0dANY,Hunt Brothers Pizza,33.4444927,-84.8165859,restaurant|food|point_of_interest|establishment,"1935 Roscoe Road, Newnan",OPERATIONAL
restaurant,restaurant,ChIJJysyYMXJ9IgRDLZxq57GPk4,Hunt Brothers Pizza,33.4067818,-84.8356828,restaurant|food|point_of_interest|establishment,"775 Georgia 16, Newnan",OPERATIONAL
school,primary_school,ChIJBSAKghTM9IgRuqlq1cF0kgc,Arnco-Sargent Elementary School,33.4382706,-84.8741241,primary_school|school|point_of_interest|establishment,"2449 Georgia 16, Newnan",OPERATIONAL
public_park,park,ChIJyd6V-U7O9IgRitTyN4vdm_c,Dunaway Gardens,33.47919299999999,-84.822351,park|point_of_interest|establishment,"3218 Roscoe Road, Newnan",CLOSED_TEMPORARILY
public_park,park,ChIJy5t6SgDL9IgRiogUEArfUJs,Ball St Park,33.4175684,-84.8587813,park|point_of_interest|establishment,"50 Arnco Main Street, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJh-UG3RHM9IgR3W3U7FrOAec,Sargent Baptist Church,33.4331422,-84.8693114,church|place_of_worship|point_of_interest|establishment,"467 Sargent Main Street, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJy7qX8hDM9IgR1GxnQP6L88A,Jehovah Jireh Deliverance Center,33.4367822,-84.868397,church|place_of_worship|point_of_interest|establishment,"126 Smith Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJw_uJSOfO9IgRGvPAmdGZD6Y,Macedonia Baptist Church,33.4458579,-84.8207724,church|place_of_worship|point_of_interest|establishment,"1504 Macedonia Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJPyVRKL7O9IgRYBHv_LX4mxw,Liberty Christian Church,33.443387,-84.839074,church|place_of_worship|point_of_interest|establishment,"948 Macedonia Road, Newnan",OPERATIONAL
post_office,post_office,ChIJxUeepA_M9IgRkUn05RyJIEM,United States Postal Service,33.4311209,-84.868834,post_office|finance|point_of_interest|establishment,"374 Henry Bryant Road, Sargent",OPERATIONAL
retail_store,clothing_store,ChIJlfGA0MnP9IgRhqL7GVfOKvk,Say Less Boutique,33.442221,-84.779541,clothing_store|store|point_of_interest|establishment,"64 Reagan Farm Road, Newnan",OPERATIONAL
retail_store,clothing_store,ChIJQ_a-FPPF9IgRYAfUYdnOySM,Apostle Deborah Sheppard Ministries,33.4385888,-84.766736,book_store|clothing_store|store|point_of_interest|establishment,"37 Frank Cook Road, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJTQAb46LP9IgRCDpUlwLFeSE,Blue Lily Candle Company,33.46872879999999,-84.7785319,home_goods_store|store|point_of_interest|establishment,"378 North Cove Drive, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJyUVDQKLJ9IgRAfMs1t1JD14,Custom Quality Flooring LLC,33.4167422,-84.794841,home_goods_store|general_contractor|store|point_of_interest|establishment,"163 Green Park Way, Newnan",OPERATIONAL
restaurant,restaurant,ChIJl4BCOnnF9IgRgS2Ae0pnltk,Hunt Brothers Pizza,33.4197878,-84.7727022,restaurant|food|point_of_interest|establishment,"28 Green Top Road, Newnan",OPERATIONAL
technical_college,university,ChIJJYefveXF9IgRyrrNc0ov5J8,Bread of Life Christian University Theological Seminary,33.4392211,-84.767073,university|point_of_interest|establishment,"37 Frank Cook Road, Newnan",OPERATIONAL
school,primary_school,ChIJvzUG7TXP9IgRO_dmc3eDWIg,Northside Elementary School,33.4234844,-84.7962636,primary_school|school|point_of_interest|establishment,"720 Country Club Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJBTSe1kLP9IgRyqO8evTXgqI,Happy Valley Baptist Church,33.4385995,-84.7843018,church|place_of_worship|point_of_interest|establishment,"1053 Buddy-West Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJa6bgO6vI9IgRzWjxhQUW1iU,The Church of Jesus Christ of Latter-day Saints,33.4166976,-84.7782,church|place_of_worship|point_of_interest|establishment,"821 Old Atlanta Highway, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJ85ECaLLI9IgRNHz1BqtEa9s,Powell United Methodist Church,33.4149357,-84.7860143,church|place_of_worship|point_of_interest|establishment,"586 Old Atlanta Highway, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJ7yXrmNbI9IgRQJfcXqEr8CI,St George Catholic Church,33.41359420000001,-84.8099238,church|place_of_worship|school|point_of_interest|establishment,"771 Roscoe Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJYfDtMrLI9IgR__6Xc5MVIcE,Kingdom Hall of Jehovah’s Witnesses,33.413782,-84.7869603,church|place_of_worship|point_of_interest|establishment,"530 Old Atlanta Highway, Newnan",OPERATIONAL
restaurant,restaurant,ChIJWzYNBH629IgRY4OaaD98mkE,Subway,33.4362172,-84.7516208,meal_takeaway|restaurant|food|point_of_interest|establishment,"2344 U.S. 29 Suite B, Newnan",OPERATIONAL
restaurant,restaurant,ChIJp6_YbXTG9IgR8WhuxqLwd70,Danthony's Grill & Bar,33.4150566,-84.7512425,bar|restaurant|food|point_of_interest|establishment,"89 Herring Road, Newnan",OPERATIONAL
school,primary_school,ChIJ4-_4MKPO9IgRD2eMd0bd8iI,The Heritage School,33.4290322,-84.7574831,secondary_school|primary_school|school|point_of_interest|establishment,"2093 U.S. 29, Newnan",OPERATIONAL
public_park,park,ChIJc4iN4u7F9IgRPx3s0SnacS0,Madras Park,33.4358613,-84.7503188,park|point_of_interest|establishment,"2355 U.S. 29, Newnan",OPERATIONAL
public_park,park,ChIJkbS0mMHF9IgRzf3hcXzCI98,Madras Community Center,33.43559339999999,-84.7503499,park|gym|health|point_of_interest|establishment,"2355 U.S. 29, Newnan",OPERATIONAL
fire_police_station,fire_station,ChIJn8NpD-nF9IgRMUJHy-UL5nc,Coweta County Fire Station 6,33.4323292,-84.7552023,fire_station|point_of_interest|establishment,"23 Madras Parkway, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJSY8hB4rG9IgRB8HLgbEa5YM,Christ Presbyterian Church,33.4346646,-84.7515302,church|place_of_worship|point_of_interest|establishment,"2331 U.S. 29, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJT4LLFanI9IgRTKyKwuuu0Io,To Grow In Jesus Ministry Inc,33.411063,-84.777095,church|place_of_worship|point_of_interest|establishment,"11 Dogwood Road, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJLZCCPPPF9IgRybgTAFW6skw,Harvest Park Baptist Church,33.4385888,-84.766736,church|place_of_worship|point_of_interest|establishment,"37 Frank Cook Road, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJ3Xraa7PD9IgRvyyQACClkCs,Trifecta Home Furniture,33.443963,-84.6872173,furniture_store|home_goods_store|store|point_of_interest|establishment,"195 Raymond Hill Road Ste E, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJ89sH-bLD9IgRZx7uU91QQ48,Cheep N Cheerful,33.443963,-84.6872173,home_goods_store|store|point_of_interest|establishment,"195 Raymond Hill Road Suite B, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJcQ1YlX_D9IgRYR0EFKSuKpE,Mr. Appliance - Sales,33.443963,-84.6872173,home_goods_store|store|point_of_interest|establishment,"195 Raymond Hill Road #A, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJYwYkqQDD9IgR9Bipn3A8AU0,Wisteria Lane Antiques and Home Decor,33.443963,-84.6872173,furniture_store|home_goods_store|store|point_of_interest|establishment,"195 Raymond Hill Road, Newnan",CLOSED_TEMPORARILY
grocery_store,grocery_or_supermarket,ChIJxdz9xa_D9IgRdF1q5GKajWY,Publix Super Market at Arbor Springs Plaza,33.45040489999999,-84.7045768,supermarket|florist|liquor_store|bakery|grocery_or_supermarket|store|food|point_of_interest|establishment,"4000 U.S. 29, Newnan",OPERATIONAL
restaurant,restaurant,ChIJR_vvwWXH9IgRifvKV6cn3AU,Subway,33.4419723,-84.6914899,meal_takeaway|restaurant|food|point_of_interest|establishment,"30 Raymond Hill Road Suite B, Newnan",OPERATIONAL
restaurant,restaurant,ChIJa_9PpHbE9IgR6fys61FvQ5k,Hardee’s,33.44228460000001,-84.6921732,restaurant|food|point_of_interest|establishment,"4201 Sharpsburg McCollum Road, Newnan",OPERATIONAL
restaurant,restaurant,ChIJi5INIOrF9IgREkDZDEwiPQI,ZENSHI Handcrafted Sushi,33.4504933,-84.7046881,restaurant|meal_takeaway|food|point_of_interest|establishment,"4000 North Highway 29, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ_5mIGp3F9IgRW6TPHg9xJns,Monterrey of Newnan,33.4505734,-84.7028569,restaurant|food|point_of_interest|establishment,"55 Arbor Springs Terrace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ868h0BjF9IgRJ0eSXblDcyM,Spice Wing Newnan,33.4506729,-84.7026835,restaurant|food|point_of_interest|establishment,"43 Arbor Springs Terrace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJEVjv0PfF9IgR69M4UzX5HS4,Partners II Pizza Arbor Springs,33.4510785,-84.7023569,restaurant|food|point_of_interest|establishment,"Arbor Springs Terrace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ79Do6XDE9IgRpXS1ksxQk8E,Waffle House,33.4466159,-84.6966718,meal_takeaway|restaurant|food|point_of_interest|establishment,"4410 Georgia 154, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ69tgOYnF9IgRVEL3dxMFH2A,Taqueria El Cachis,33.4450604,-84.6948346,restaurant|food|point_of_interest|establishment,"5 McCollum Station, Newnan",OPERATIONAL
hospital,hospital,ChIJKXzyqFzD9IgRtfjl753eTWY,Publix Pharmacy at Arbor Springs Plaza,33.4501629,-84.7016161,pharmacy|hospital|health|store|point_of_interest|establishment,"4000 U.S. 29, Newnan",OPERATIONAL
hospital,hospital,ChIJ8y6VPQDD9IgRMqLzKF6ygN0,City of Hope,33.4701535,-84.6871249,hospital|health|point_of_interest|establishment,"142 Bagley Road, Newnan",OPERATIONAL
school,primary_school,ChIJ7wpMMW_E9IgR5IK30M35MHU,Arbor Springs Elementary School,33.466193,-84.692445,primary_school|school|point_of_interest|establishment,"4840 U.S. 29, Newnan",OPERATIONAL
public_park,park,ChIJRS6jgE_F9IgRyR7E00WkAjY,Arbor Springs Park (Private),33.46098440000001,-84.7034422,park|point_of_interest|establishment,"170 Arbor Springs Parkway, Newnan",OPERATIONAL
public_park,park,ChIJCQswhXbH9IgRdJBfn-Mslc0,Southern backwoods,33.4130802,-84.7055531,park|point_of_interest|establishment,"17 Widewater Drive, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJNQ4k_j3E9IgRPKleriZesW0,Crosspoint Community Church,33.431734,-84.7104431,church|place_of_worship|point_of_interest|establishment,"1091 Posey Road, Newnan",OPERATIONAL
retail_store,clothing_store,ChIJA8Dza2fB9IgRslD_o91ek3I,Walgreens,33.4085538,-84.6813788,drugstore|convenience_store|clothing_store|health|food|store|point_of_interest|establishment,"3116 Georgia 34, Newnan",OPERATIONAL
retail_store,clothing_store,ChIJMzafW1HB9IgR1YtbT4ExHSM,Starship Enterprises Of Newnan,33.407832,-84.68405,clothing_store|store|point_of_interest|establishment,"3029 Georgia 34, Newnan",OPERATIONAL
retail_store,clothing_store,ChIJCy9KBanB9IgRvZ6xXzISpaM,Angelia's Beauty Haven LLC AVON Ind Sales Rep,33.40678499999999,-84.6849709,jewelry_store|clothing_store|home_goods_store|store|point_of_interest|establishment,"1020 B Bldg, 20 Tower Way Su, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJS0iswJvD9IgRVI6kIBSp0fE,H I Contracting,33.4514083,-84.6748178,home_goods_store|store|general_contractor|point_of_interest|establishment,"361 Long Shore Way, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJ_dnHThDq9IgRQwejMh1uyKw,Tractor Supply Co.,33.4104963,-84.6890144,hardware_store|pet_store|home_goods_store|store|food|point_of_interest|establishment,"90 Marketplace Drive, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJ6w_nocjD9IgRT2D5UttIHAI,Affordable Painting Services,33.431418,-84.658122,painter|furniture_store|home_goods_store|store|point_of_interest|establishment,"50 Peachtree Lake Drive, Sharpsburg",OPERATIONAL
retail_store,home_goods_store,ChIJ6fmGNHDG9IgRXrEKkKWTpJY,Studio 34 Furniture & Design,33.4075763,-84.6835603,furniture_store|home_goods_store|store|point_of_interest|establishment,"3055 Georgia 34, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJl9962lPB9IgR2EovmL3PuzI,Design Exchange,33.4067804,-84.6849808,furniture_store|home_goods_store|store|point_of_interest|establishment,"20 Tower Way, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJjSfDXK7B9IgR9vMNiOWYDmw,Treasures Lost & Found,33.4107515,-84.6817032,home_goods_store|store|point_of_interest|establishment,"2981 Sharpsburg McCollum Road, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJLVvcZSDH9IgRpVFoqRtZOK8,Luxury Kitchen & Bath LLC,33.4082446,-84.6928544,furniture_store|home_goods_store|store|general_contractor|point_of_interest|establishment,"2730 Georgia 34 E, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJ5RtRzVDB9IgRk1kGXUHuOag,Walgreens Photo,33.4087559,-84.6811169,home_goods_store|electronics_store|store|point_of_interest|establishment,"3116 Georgia 34, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJQSJTPHLB9IgR_goaK2f6dxg,Luxury Granite and Marble,33.40808839999999,-84.6888919,home_goods_store|store|point_of_interest|establishment,"2831 Georgia 34, Newnan",OPERATIONAL
retail_store,home_goods_store,ChIJJxLaxETB9IgRsVAIpBgxJMg,C & D Auto Paint,33.40697039999999,-84.6784697,home_goods_store|store|point_of_interest|establishment,"3219 Georgia 34 Ste C, Newnan",OPERATIONAL
grocery_store,supermarket,ChIJbeoeV_HI9IgRwkA6YIIypMs,Publix Super Market at Coweta Crossroads,33.4105131,-84.6876537,supermarket|florist|bakery|liquor_store|grocery_or_supermarket|store|point_of_interest|food|establishment,"100 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ0bPeEWfB9IgRjKsjMexf8BY,Subway,33.4089634,-84.6782441,meal_takeaway|restaurant|food|point_of_interest|establishment,"3150 Georgia 34 Suite 211, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ82q-FVTB9IgRx-N9IL_DYwc,Papa Johns Pizza,33.4104168,-84.6860507,restaurant|food|point_of_interest|establishment,"90 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJzQwGP1TB9IgRMmaTMb9C-Gs,Jersey Mike's Subs,33.410402,-84.686064,meal_takeaway|restaurant|food|store|point_of_interest|establishment,"90 Glenda Trace Suite O, Newnan",OPERATIONAL
restaurant,restaurant,ChIJzQwGP1TB9IgRyVLx53_u1aI,Tomo とも Japanese Restaurants,33.410371,-84.6864001,meal_takeaway|restaurant|food|point_of_interest|establishment,"90 Glenda Trace suite K, Newnan",OPERATIONAL
restaurant,restaurant,ChIJI4i9qqzG9IgRND-slu5nt-I,Burger King,33.4090564,-84.6897787,restaurant|food|point_of_interest|establishment,"2814 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJZWf6nVTB9IgRJBlNqnp0kmM,Wendy's,33.4090721,-84.6881311,restaurant|food|point_of_interest|establishment,"2840 East Highway 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJrY5bf1PB9IgRdaU8Qmd8iAY,Bojangles,33.40896019999999,-84.6904529,restaurant|meal_takeaway|food|point_of_interest|establishment,"2800 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJfXSM7NDD9IgRRC1w9aArB-o,Mini Asia,33.4093455,-84.6804047,meal_delivery|restaurant|food|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ8VIpWlfB9IgRh8RLyWxTy0w,Kroger Deli,33.40936129999999,-84.679408,restaurant|food|store|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJQ1VUnlDB9IgRYPKpHQVFSaU,SenKaKu Hibachi and Sushi,33.4070573,-84.6795795,restaurant|food|point_of_interest|establishment,"3149 Georgia 34 suite 200, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ00iT-1vB9IgRLxcgkiJQwNQ,Dunkin',33.40813589999999,-84.6743421,bakery|cafe|meal_takeaway|restaurant|food|store|point_of_interest|establishment,"12 Bailey Station Circle, Sharpsburg",OPERATIONAL
restaurant,restaurant,ChIJV6zJn1DB9IgRSAUrmgVUgyk,Starbucks,33.4070029,-84.6794799,cafe|restaurant|food|store|point_of_interest|establishment,"3151 East Highway 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJCWGQa1rB9IgRkT-wCRN5ac4,Little Caesars Pizza,33.4068422,-84.67825,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"3219 East Highway 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJbeoeV_HI9IgRMNp1o1gmt6g,Chick-fil-A,33.4091136,-84.6858904,restaurant|food|point_of_interest|establishment,"5 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJkyDxT1fB9IgRfUsZB5UGtOE,Pizza Hut,33.4090029,-84.6783162,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"3150 East Highway 34 Ste 210, Newnan",OPERATIONAL
restaurant,restaurant,ChIJO_s5m1bB9IgRNE3Y2mEn4ZE,Zaxbys Chicken Fingers & Buffalo Wings,33.41103719999999,-84.6831515,meal_delivery|meal_takeaway|restaurant|food|point_of_interest|establishment,"195 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ2ZuPdlTB9IgRbfupiWL4gU8,Waffle House,33.4090601,-84.6855631,meal_takeaway|restaurant|food|point_of_interest|establishment,"15 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJPfwpqDLC9IgRGcJvoHJmByM,HJ Wings & Things,33.4095611,-84.6717559,meal_takeaway|restaurant|food|point_of_interest|establishment,"20 Thomas Grace Annex Lane, Sharpsburg",OPERATIONAL
restaurant,restaurant,ChIJq9DgK4rG9IgRukiDDlU6eYI,McDonald's,33.408141,-84.6784998,cafe|restaurant|food|store|point_of_interest|establishment,"3190 East Highway 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJzQwGP1TB9IgROQflc1RT7Kg,China Kitchen,33.4103673,-84.6866003,restaurant|food|point_of_interest|establishment,"90 H, Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ01x7BRvB9IgR8ecrN61WIg0,ZENSHI Handcrafted Sushi,33.4105243,-84.6876257,restaurant|meal_takeaway|food|point_of_interest|establishment,"100 Glenda Trace, Newnan",OPERATIONAL
restaurant,restaurant,ChIJceE178nB9IgRs8hVDGVjGxM,Smoothie King,33.40905290000001,-84.6889735,meal_delivery|restaurant|food|health|store|point_of_interest|establishment,"85 Marketplace Drive Suite A, Newnan",OPERATIONAL
restaurant,restaurant,ChIJzW1y9HfB9IgRvztJFgo01Uk,Kroger Sushi,33.40936899999999,-84.6794643,restaurant|food|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJcZiNV1fB9IgRannaHSrKEYo,PITA Mediterranean Street Food - Thomas Crossroads / Sharpsburg,33.4090522,-84.6786442,restaurant|food|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJVZbftq7B9IgRDCl14FFVayw,ZENSHI Handcrafted Sushi,33.4090985,-84.6782923,restaurant|meal_takeaway|food|point_of_interest|establishment,"3150 East Highway 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ0bPeEWfB9IgRpSf_uaDKPAw,Chylaca's,33.4090023,-84.6785332,restaurant|food|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
restaurant,restaurant,ChIJ7-lsnVjB9IgRNkYy58LO7fM,WNB Factory - Wings & Burger,33.4089726,-84.6781587,restaurant|food|point_of_interest|establishment,"3150 Georgia 34 Suite 212, Newnan",OPERATIONAL
restaurant,restaurant,ChIJT6vypPvB9IgRnVn02RdkNRI,Cantina Tacos & Tequilas,33.4088427,-84.671816,restaurant|food|point_of_interest|establishment,"15 Thomas Grace Annex Lane Ste 200, Sharpsburg",OPERATIONAL
restaurant,restaurant,ChIJEYs6bm_B9IgRpgBiWn-iRuE,Taco Bell,33.4081098,-84.672188,meal_takeaway|restaurant|food|point_of_interest|establishment,"3410 Georgia 34, Sharpsburg",OPERATIONAL
hospital,hospital,ChIJYRILYlTB9IgRyZHh0FxBRsc,Publix Pharmacy at Coweta Crossroads,33.41052019999999,-84.6876245,pharmacy|hospital|health|store|point_of_interest|establishment,"100 Glenda Trace, Newnan",OPERATIONAL
hospital,hospital,ChIJXb3731bB9IgRJuKKuWa1Apc,piedmont Healthcare Center,33.4100072,-84.6816623,hospital|health|point_of_interest|establishment,"2959 Sharpsburg McCollum Road, Newnan",OPERATIONAL
hospital,hospital,ChIJC0GCDIPH9IgRXYpPihGL6Qg,AICA Orthopedics,33.4086494,-84.6942214,hospital|doctor|health|point_of_interest|establishment,"2700 Georgia 34 East, Newnan",OPERATIONAL
medical_clinic,doctor,ChIJ38WucaXG9IgRa8Jb4Ha_OcA,Coweta Dentistry,33.406401,-84.7004549,dentist|doctor|health|point_of_interest|establishment,"15 Ruth Drive, Newnan",OPERATIONAL
medical_clinic,doctor,ChIJ380aWlbB9IgRk2i8w83p7KI,Piedmont Physicians General Surgery at Thomas Crossroads,33.41012200000001,-84.68163,doctor|health|point_of_interest|establishment,"2959 Sharpsburg McCollum Road, Newnan",OPERATIONAL
medical_clinic,doctor,ChIJbeoeV_HI9IgRjL0fW1P7LNY,Piedmont Physicians Neuroscience Services,33.409793,-84.6816958,doctor|health|point_of_interest|establishment,"McCollum, 2959 Sharpsburg McCollum Road, Newnan",CLOSED_TEMPORARILY
medical_clinic,doctor,ChIJneAFWlbB9IgRfHAyQ79AT_k,Piedmont Physicians Medical Cre,33.4100072,-84.6816623,doctor|health|point_of_interest|establishment,"2959 Sharpsburg McCollum Road, Newnan",OPERATIONAL
pharmacy,pharmacy,ChIJ__8_zVDB9IgRZFsE51KxJ0s,Walgreens Pharmacy,33.4087586,-84.6810936,pharmacy|health|store|point_of_interest|establishment,"3116 Georgia 34, Newnan",OPERATIONAL
pharmacy,pharmacy,ChIJe1I0hF7B9IgRoYaWz3UT8TQ,Freeman Simpson Real Estate Group,33.408787,-84.671847,pharmacy|health|store|point_of_interest|establishment,"15 Thomas Grace Annex Lane #150, Sharpsburg",OPERATIONAL
pharmacy,pharmacy,ChIJ0bPeEWfB9IgRJ8Zw8vjkEfI,Kroger Pharmacy,33.40936769999999,-84.6795219,pharmacy|drugstore|health|store|point_of_interest|establishment,"3150 Georgia 34, Newnan",OPERATIONAL
pharmacy,pharmacy,ChIJ__8_zVDB9IgRKq6iuBC9adc,COVID-19 Drive-Thru Testing at Walgreens,33.40858829999999,-84.6811721,pharmacy|health|store|point_of_interest|establishment,"3116 Georgia 34, Newnan",OPERATIONAL
school,primary_school,ChIJiRKs9QDE9IgRcM507i1NRuU,English Tutorial,33.4173371,-84.6855942,secondary_school|primary_school|school|point_of_interest|establishment,"210 Homeport Drive, Newnan",OPERATIONAL
school,primary_school,ChIJEYCnEALD9IgR-gY9JnnsnJg,Canongate Elementary School,33.464932,-84.64779,primary_school|school|point_of_interest|establishment,"200 Pete Road, Sharpsburg",OPERATIONAL
school,secondary_school,ChIJy7lsnw3D9IgRpg0QEWPJRAk,Northgate High School,33.4682004,-84.6659996,secondary_school|school|point_of_interest|establishment,"3220 Fischer Road, Newnan",OPERATIONAL
public_park,park,ChIJVW3UCLHD9IgRcEAQvSN8Rkc,Lawn Care,33.46907100000001,-84.6621981,park|point_of_interest|establishment,Peachtree City,OPERATIONAL
public_park,park,ChIJ8dgsjqrD9IgRqMijH-nSoc4,Strathmore Nature Trail,33.4567674,-84.6499044,park|point_of_interest|establishment,"206-184 Strathmore Drive, Sharpsburg",OPERATIONAL
fire_police_station,fire_station,ChIJ4fEMehHD9IgRYJHUOWHCYqo,Coweta County Fire Station 7,33.4724799,-84.6635406,fire_station|point_of_interest|establishment,"3370 Fischer Road, Newnan",OPERATIONAL
bank,bank,ChIJ82q-FVTB9IgRLepIxfJYzy8,Truist,33.411826,-84.6830544,bank|finance|point_of_interest|establishment,"190 Glenda Trace, Newnan",OPERATIONAL
bank,bank,ChIJCVaZPVzB9IgRD7Hh4L9AcJ4,Regions Bank,33.40748799999999,-84.6816456,bank|atm|finance|point_of_interest|establishment,"3111 Georgia 34, Newnan",OPERATIONAL
bank,bank,ChIJVVQdeVTB9IgR2WDCWCxyTTA,Bank of America (with Drive-thru ATM),33.4092208,-84.686768,bank|finance|point_of_interest|establishment,"10 Glenda Trace, Newnan",OPERATIONAL
bank,bank,ChIJvwT-FlbB9IgRfQVylv2ywBc,PNC Bank,33.4088213,-84.6831885,bank|atm|finance|point_of_interest|establishment,"2904 Sharpsburg McCollum Road, Newnan",OPERATIONAL
bank,bank,ChIJ6fvBSrjB9IgRr_MbHnHLEOE,Delta Community Credit Union,33.4105243,-84.6876257,atm|bank|finance|point_of_interest|establishment,"90 Glenda Trace suite a, Newnan",OPERATIONAL
bank,bank,ChIJV1pgRVfB9IgRVlwxUx8k18U,Synovus Bank,33.4085289,-84.6806301,bank|atm|finance|point_of_interest|establishment,"3130 Georgia 34, Newnan",OPERATIONAL
place_of_worship,place_of_worship,ChIJ2x0eUvPD9IgRoungrqy9Sno,Campus Crusades For Christ,33.4368655,-84.6836854,church|place_of_worship|point_of_interest|establishment,"10 Shanna Court, Newnan",CLOSED_TEMPORARILY
place_of_worship,place_of_worship,ChIJU6ALT7DD9IgRgfaGYOlR09s,Hope Memorial Baptist Church,33.444877,-84.6567329,church|place_of_worship|point_of_interest|establishment,"2312 Fischer Road, Sharpsburg",OPERATIONAL
retail_store,clothing_store,ChIJb_lUmiPC9IgRv-C605KbN3I,Custom Tees By Design,33.4202439,-84.630945,clothing_store|store|point_of_interest|establishment,"75 Highland Park Drive, Sharpsburg",OPERATIONAL
