lat,lon,google_type,,
33.540,-84.750,city_hall,,
33.540,-84.750,courthouse,,
33.540,-84.750,park,,
33.540,-84.750,library,,
33.540,-84.750,fire_station,,
33.540,-84.750,police,,
33.540,-84.750,bank,,
33.540,-84.750,place_of_worship,,
33.540,-84.750,post_office,,
33.540,-84.650,department_store,,
33.540,-84.650,clothing_store,,
33.540,-84.650,home_goods_store,,
33.540,-84.650,grocery_or_supermarket,,
33.540,-84.650,supermarket,,
33.540,-84.650,restaurant,,
33.540,-84.650,hospital,,
33.540,-84.650,doctor,,
33.540,-84.650,pharmacy,,
33.540,-84.650,university,,
33.540,-84.650,primary_school,,
33.540,-84.650,secondary_school,,
33.540,-84.650,city_hall,,
33.540,-84.650,courthouse,,
33.540,-84.650,park,,
33.540,-84.650,library,,
33.540,-84.650,fire_station,,
33.540,-84.650,police,,
33.540,-84.650,bank,,
33.540,-84.650,place_of_worship,,
33.540,-84.650,post_office,,
33.540,-84.550,department_store,,
33.540,-84.550,clothing_store,,
33.540,-84.550,home_goods_store,,
33.540,-84.550,grocery_or_supermarket,,
33.540,-84.550,supermarket,,
33.540,-84.550,restaurant,,
33.540,-84.550,hospital,,
33.540,-84.550,doctor,,
33.540,-84.550,pharmacy,,
33.540,-84.550,university,,
33.540,-84.550,primary_school,,
33.540,-84.550,secondary_school,,
33.540,-84.550,city_hall,,
33.540,-84.550,courthouse,,
33.540,-84.550,park,,
33.540,-84.550,library,,
33.540,-84.550,fire_station,,
33.540,-84.550,police,,
33.540,-84.550,bank,,
33.540,-84.550,place_of_worship,,
33.540,-84.550,post_office,,
33.540,-84.450,department_store,,
33.540,-84.450,clothing_store,,
33.540,-84.450,home_goods_store,,
33.540,-84.450,grocery_or_supermarket,,
33.540,-84.450,supermarket,,
33.540,-84.450,restaurant,,
33.540,-84.450,hospital,,
33.540,-84.450,doctor,,
33.540,-84.450,pharmacy,,
33.540,-84.450,university,,
33.540,-84.450,primary_school,,
33.540,-84.450,secondary_school,,
33.540,-84.450,city_hall,,
33.540,-84.450,courthouse,,
33.540,-84.450,park,,
33.540,-84.450,library,,
33.540,-84.450,fire_station,,
33.540,-84.450,police,,
33.540,-84.450,bank,,
33.540,-84.450,place_of_worship,,
33.540,-84.450,post_office,,
33.540,-84.350,department_store,,
33.540,-84.350,clothing_store,,
33.540,-84.350,home_goods_store,,
33.540,-84.350,grocery_or_supermarket,,
33.540,-84.350,supermarket,,
33.540,-84.350,restaurant,,
33.540,-84.350,hospital,,
33.540,-84.350,doctor,,
33.540,-84.350,pharmacy,,
33.540,-84.350,university,,
33.540,-84.350,primary_school,,
33.540,-84.350,secondary_school,,
33.540,-84.350,city_hall,,
33.540,-84.350,courthouse,,
33.540,-84.350,park,,
33.540,-84.350,library,,
33.540,-84.350,fire_station,,
33.540,-84.350,police,,
33.540,-84.350,bank,,
33.540,-84.350,place_of_worship,,
33.540,-84.350,post_office,,
33.540,-84.250,department_store,,
33.540,-84.250,clothing_store,,
33.540,-84.250,home_goods_store,,
33.540,-84.250,grocery_or_supermarket,,
33.540,-84.250,supermarket,,
33.540,-84.250,restaurant,,
33.540,-84.250,hospital,,
33.540,-84.250,doctor,,
33.540,-84.250,pharmacy,,
33.540,-84.250,university,,
33.540,-84.250,primary_school,,
33.540,-84.250,secondary_school,,
33.540,-84.250,city_hall,,
33.540,-84.250,courthouse,,
33.540,-84.250,park,,
33.540,-84.250,library,,
33.540,-84.250,fire_station,,
33.540,-84.250,police,,
33.540,-84.250,bank,,
33.540,-84.250,place_of_worship,,
33.540,-84.250,post_office,,
33.540,-84.150,department_store,,
33.540,-84.150,clothing_store,,
33.540,-84.150,home_goods_store,,
33.540,-84.150,grocery_or_supermarket,,
33.540,-84.150,supermarket,,
33.540,-84.150,restaurant,,
33.540,-84.150,hospital,,
33.540,-84.150,doctor,,
33.540,-84.150,pharmacy,,
33.540,-84.150,university,,
33.540,-84.150,primary_school,,
33.540,-84.150,secondary_school,,
33.540,-84.150,city_hall,,
33.540,-84.150,courthouse,,
33.540,-84.150,park,,
33.540,-84.150,library,,
33.540,-84.150,fire_station,,
33.540,-84.150,police,,
33.540,-84.150,bank,,
33.540,-84.150,place_of_worship,,
33.540,-84.150,post_office,,
33.630,-84.850,department_store,,
33.630,-84.850,clothing_store,,
33.630,-84.850,home_goods_store,,
33.630,-84.850,grocery_or_supermarket,,
33.630,-84.850,supermarket,,
33.630,-84.850,restaurant,,
33.630,-84.850,hospital,,
33.630,-84.850,doctor,,
33.630,-84.850,pharmacy,,
33.630,-84.850,university,,
33.630,-84.850,primary_school,,
33.630,-84.850,secondary_school,,
33.630,-84.850,city_hall,,
33.630,-84.850,courthouse,,
33.630,-84.850,park,,
33.630,-84.850,library,,
33.630,-84.850,fire_station,,
33.630,-84.850,police,,
33.630,-84.850,bank,,
33.630,-84.850,place_of_worship,,
33.630,-84.850,post_office,,
33.630,-84.750,department_store,,
33.630,-84.750,clothing_store,,
33.630,-84.750,home_goods_store,,
33.630,-84.750,grocery_or_supermarket,,
33.630,-84.750,supermarket,,
33.630,-84.750,restaurant,,
33.630,-84.750,hospital,,
33.630,-84.750,doctor,,
33.630,-84.750,pharmacy,,
33.630,-84.750,university,,
33.630,-84.750,primary_school,,
33.630,-84.750,secondary_school,,
33.630,-84.750,city_hall,,
33.630,-84.750,courthouse,,
33.630,-84.750,park,,
33.630,-84.750,library,,
33.630,-84.750,fire_station,,
33.630,-84.750,police,,
33.630,-84.750,bank,,
33.630,-84.750,place_of_worship,,
33.630,-84.750,post_office,,
33.630,-84.650,department_store,,
33.630,-84.650,clothing_store,,
33.630,-84.650,home_goods_store,,
33.630,-84.650,grocery_or_supermarket,,
33.630,-84.650,supermarket,,
33.630,-84.650,restaurant,,
33.630,-84.650,hospital,,
33.630,-84.650,doctor,,
33.630,-84.650,pharmacy,,
33.630,-84.650,university,,
33.630,-84.650,primary_school,,
33.630,-84.650,secondary_school,,
33.630,-84.650,city_hall,,
33.630,-84.650,courthouse,,
33.630,-84.650,park,,
33.630,-84.650,library,,
33.630,-84.650,fire_station,,
33.630,-84.650,police,,
33.630,-84.650,bank,,
33.630,-84.650,place_of_worship,,
33.630,-84.650,post_office,,
33.630,-84.550,department_store,,
33.630,-84.550,clothing_store,,
33.630,-84.550,home_goods_store,,
33.630,-84.550,grocery_or_supermarket,,
33.630,-84.550,supermarket,,
33.630,-84.550,restaurant,,
33.630,-84.550,hospital,,
33.630,-84.550,doctor,,
33.630,-84.550,pharmacy,,
33.630,-84.550,university,,
33.630,-84.550,primary_school,,
33.630,-84.550,secondary_school,,
33.630,-84.550,city_hall,,
33.630,-84.550,courthouse,,
33.630,-84.550,park,,
33.630,-84.550,library,,
33.630,-84.550,fire_station,,
33.630,-84.550,police,,
33.630,-84.550,bank,,
33.630,-84.550,place_of_worship,,
33.630,-84.550,post_office,,
33.630,-84.450,department_store,,
33.630,-84.450,clothing_store,,
33.630,-84.450,home_goods_store,,
33.630,-84.450,grocery_or_supermarket,,
33.630,-84.450,supermarket,,
33.630,-84.450,restaurant,,
33.630,-84.450,hospital,,
33.630,-84.450,doctor,,
33.630,-84.450,pharmacy,,
33.630,-84.450,university,,
33.630,-84.450,primary_school,,
33.630,-84.450,secondary_school,,
33.630,-84.450,city_hall,,
33.630,-84.450,courthouse,,
33.630,-84.450,park,,
33.630,-84.450,library,,
33.630,-84.450,fire_station,,
33.630,-84.450,police,,
33.630,-84.450,bank,,
33.630,-84.450,place_of_worship,,
33.630,-84.450,post_office,,
33.630,-84.350,department_store,,
33.630,-84.350,clothing_store,,
33.630,-84.350,home_goods_store,,
33.630,-84.350,grocery_or_supermarket,,
33.630,-84.350,supermarket,,
33.630,-84.350,restaurant,,
33.630,-84.350,hospital,,
33.630,-84.350,doctor,,
33.630,-84.350,pharmacy,,
33.630,-84.350,university,,
33.630,-84.350,primary_school,,
33.630,-84.350,secondary_school,,
33.630,-84.350,city_hall,,
33.630,-84.350,courthouse,,
33.630,-84.350,park,,
33.630,-84.350,library,,
33.630,-84.350,fire_station,,
33.630,-84.350,police,,
33.630,-84.350,bank,,
33.630,-84.350,place_of_worship,,
33.630,-84.350,post_office,,
33.630,-84.250,department_store,,
33.630,-84.250,clothing_store,,
33.630,-84.250,home_goods_store,,
33.630,-84.250,grocery_or_supermarket,,
33.630,-84.250,supermarket,,
33.630,-84.250,restaurant,,
33.630,-84.250,hospital,,
33.630,-84.250,doctor,,
33.630,-84.250,pharmacy,,
33.630,-84.250,university,,
33.630,-84.250,primary_school,,
33.630,-84.250,secondary_school,,
33.630,-84.250,city_hall,,
33.630,-84.250,courthouse,,
33.630,-84.250,park,,
33.630,-84.250,library,,
33.630,-84.250,fire_station,,
33.630,-84.250,police,,
33.630,-84.250,bank,,
33.630,-84.250,place_of_worship,,
33.630,-84.250,post_office,,
33.630,-84.150,department_store,,
33.630,-84.150,clothing_store,,
33.630,-84.150,home_goods_store,,
33.630,-84.150,grocery_or_supermarket,,
33.630,-84.150,supermarket,,
33.630,-84.150,restaurant,,
33.630,-84.150,hospital,,
33.630,-84.150,doctor,,
33.630,-84.150,pharmacy,,
33.630,-84.150,university,,
33.630,-84.150,primary_school,,
33.630,-84.150,secondary_school,,
33.630,-84.150,city_hall,,
33.630,-84.150,courthouse,,
33.630,-84.150,park,,
33.630,-84.150,library,,
33.630,-84.150,fire_station,,
33.630,-84.150,police,,
33.630,-84.150,bank,,
33.630,-84.150,place_of_worship,,
33.630,-84.150,post_office,,
33.720,-84.850,department_store,,
33.720,-84.850,clothing_store,,
33.720,-84.850,home_goods_store,,
33.720,-84.850,grocery_or_supermarket,,
33.720,-84.850,supermarket,,
33.720,-84.850,restaurant,,
33.720,-84.850,hospital,,
33.720,-84.850,doctor,,
33.720,-84.850,pharmacy,,
33.720,-84.850,university,,
33.720,-84.850,primary_school,,
33.720,-84.850,secondary_school,,
33.720,-84.850,city_hall,,
33.720,-84.850,courthouse,,
33.720,-84.850,park,,
33.720,-84.850,library,,
33.720,-84.850,fire_station,,
33.720,-84.850,police,,
33.720,-84.850,bank,,
33.720,-84.850,place_of_worship,,
33.720,-84.850,post_office,,
33.720,-84.750,department_store,,
33.720,-84.750,clothing_store,,
33.720,-84.750,home_goods_store,,
33.720,-84.750,grocery_or_supermarket,,
33.720,-84.750,supermarket,,
33.720,-84.750,restaurant,,
33.720,-84.750,hospital,,
33.720,-84.750,doctor,,
33.720,-84.750,pharmacy,,
33.720,-84.750,university,,
33.720,-84.750,primary_school,,
33.720,-84.750,secondary_school,,
33.720,-84.750,city_hall,,
33.720,-84.750,courthouse,,
33.720,-84.750,park,,
33.720,-84.750,library,,
33.720,-84.750,fire_station,,
33.720,-84.750,police,,
33.720,-84.750,bank,,
33.720,-84.750,place_of_worship,,
33.720,-84.750,post_office,,
33.720,-84.650,department_store,,
33.720,-84.650,clothing_store,,
33.720,-84.650,home_goods_store,,
33.720,-84.650,grocery_or_supermarket,,
33.720,-84.650,supermarket,,
33.720,-84.650,restaurant,,
33.720,-84.650,hospital,,
33.720,-84.650,doctor,,
33.720,-84.650,pharmacy,,
33.720,-84.650,university,,
33.720,-84.650,primary_school,,
33.720,-84.650,secondary_school,,
33.720,-84.650,city_hall,,
33.720,-84.650,courthouse,,
33.720,-84.650,park,,
33.720,-84.650,library,,
33.720,-84.650,fire_station,,
33.720,-84.650,police,,
33.720,-84.650,bank,,
33.720,-84.650,place_of_worship,,
33.720,-84.650,post_office,,
33.720,-84.550,department_store,,
33.720,-84.550,clothing_store,,
33.720,-84.550,home_goods_store,,
33.720,-84.550,grocery_or_supermarket,,
33.720,-84.550,supermarket,,
33.720,-84.550,restaurant,,
33.720,-84.550,hospital,,
33.720,-84.550,doctor,,
33.720,-84.550,pharmacy,,
33.720,-84.550,university,,
33.720,-84.550,primary_school,,
33.720,-84.550,secondary_school,,
33.720,-84.550,city_hall,,
33.720,-84.550,courthouse,,
33.720,-84.550,park,,
33.720,-84.550,library,,
33.720,-84.550,fire_station,,
33.720,-84.550,police,,
33.720,-84.550,bank,,
33.720,-84.550,place_of_worship,,
33.720,-84.550,post_office,,
33.720,-84.450,department_store,,
33.720,-84.450,clothing_store,,
33.720,-84.450,home_goods_store,,
33.720,-84.450,grocery_or_supermarket,,
33.720,-84.450,supermarket,,
33.720,-84.450,restaurant,,
33.720,-84.450,hospital,,
33.720,-84.450,doctor,,
33.720,-84.450,pharmacy,,
33.720,-84.450,university,,
33.720,-84.450,primary_school,,
33.720,-84.450,secondary_school,,
33.720,-84.450,city_hall,,
33.720,-84.450,courthouse,,
33.720,-84.450,park,,
33.720,-84.450,library,,
33.720,-84.450,fire_station,,
33.720,-84.450,police,,
33.720,-84.450,bank,,
33.720,-84.450,place_of_worship,,
33.720,-84.450,post_office,,
33.720,-84.350,department_store,,
33.720,-84.350,clothing_store,,
33.720,-84.350,home_goods_store,,
33.720,-84.350,grocery_or_supermarket,,
33.720,-84.350,supermarket,,
33.720,-84.350,restaurant,,
33.720,-84.350,hospital,,
33.720,-84.350,doctor,,
33.720,-84.350,pharmacy,,
33.720,-84.350,university,,
33.720,-84.350,primary_school,,
33.720,-84.350,secondary_school,,
33.720,-84.350,city_hall,,
33.720,-84.350,courthouse,,
33.720,-84.350,park,,
33.720,-84.350,library,,
33.720,-84.350,fire_station,,
33.720,-84.350,police,,
33.720,-84.350,bank,,
33.720,-84.350,place_of_worship,,
33.720,-84.350,post_office,,
33.720,-84.250,department_store,,
33.720,-84.250,clothing_store,,
33.720,-84.250,home_goods_store,,
33.720,-84.250,grocery_or_supermarket,,
33.720,-84.250,supermarket,,
33.720,-84.250,restaurant,,
33.720,-84.250,hospital,,
33.720,-84.250,doctor,,
33.720,-84.250,pharmacy,,
33.720,-84.250,university,,
33.720,-84.250,primary_school,,
33.720,-84.250,secondary_school,,
33.720,-84.250,city_hall,,
33.720,-84.250,courthouse,,
33.720,-84.250,park,,
33.720,-84.250,library,,
33.720,-84.250,fire_station,,
33.720,-84.250,police,,
33.720,-84.250,bank,,
33.720,-84.250,place_of_worship,,
33.720,-84.250,post_office,,
33.720,-84.150,department_store,,
33.720,-84.150,clothing_store,,
33.720,-84.150,home_goods_store,,
33.720,-84.150,grocery_or_supermarket,,
33.720,-84.150,supermarket,,
33.720,-84.150,restaurant,,
